Category,DataSet,Site,Method,YR,MO,Transect,Depth(m),Cover
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1986,Jan,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1986,Jan,IV,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1986,Jan,IX,2,0.684931506849315
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1986,Jan,V,2,3.6986301369863
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1986,Jan,VI,2,0.958904109589041
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1986,Jan,VII,2,0.136986301369863
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1986,Jan,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1986,Jan,X,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1987,May,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1987,May,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1987,May,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1987,May,IV,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1987,May,IX,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1987,May,V,2,4.07925407925408
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1987,May,VI,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1987,May,VII,2,0.384615384615385
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1987,May,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1987,May,X,2,0.256410256410256
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1988,Jun,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1988,Jun,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1988,Jun,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1988,Jun,IV,2,0.410958904109589
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1988,Jun,IX,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1988,Jun,V,2,3.98505603985056
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1988,Jun,VI,2,7.76255707762557
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1988,Jun,VII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1988,Jun,VIII,2,11.3698630136986
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1988,Jun,X,2,1.0958904109589
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1989,Oct,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1989,Oct,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1989,Oct,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1989,Oct,IV,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1989,Oct,IX,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1989,Oct,V,2,0.75
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1989,Oct,VI,2,1
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1989,Oct,VII,2,2.625
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1989,Oct,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1989,Oct,X,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1990,Dec,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1990,Dec,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1990,Dec,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1990,Dec,IV,2,1.77215189873418
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1990,Dec,IX,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1990,Dec,V,2,2.15189873417721
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1990,Dec,VI,2,1.64556962025317
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1990,Dec,VII,2,6.9620253164557
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1990,Dec,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1990,Dec,X,2,3.92405063291139
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1992,Feb,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1992,Feb,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1992,Feb,III,2,0.506329113924051
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1992,Feb,IV,2,1.0126582278481
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1992,Feb,IX,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1992,Feb,V,2,5.44303797468354
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1992,Feb,VI,2,14.1772151898734
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1992,Feb,VII,2,8.73417721518987
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1992,Feb,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1992,Feb,X,2,3.0379746835443
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1993,Mar,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1993,Mar,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1993,Mar,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1993,Mar,IV,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1993,Mar,IX,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1993,Mar,V,2,9.875
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1993,Mar,VI,2,2.5
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1993,Mar,VII,2,6.625
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1993,Mar,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1993,Mar,X,2,8.25
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1994,Feb,I,2,0.875
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1994,Feb,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1994,Feb,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1994,Feb,IV,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1994,Feb,IX,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1994,Feb,V,2,6
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1994,Feb,VI,2,1
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1994,Feb,VII,2,3.625
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1994,Feb,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1994,Feb,X,2,2.875
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1995,Jul,I,2,2.35294117647059
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1995,Jul,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1995,Jul,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1995,Jul,IV,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1995,Jul,IX,2,13.7647058823529
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1995,Jul,V,2,11.8823529411765
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1995,Jul,VI,2,2.94117647058823
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1995,Jul,VII,2,6.35294117647059
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1995,Jul,VIII,2,3.17647058823529
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1995,Jul,X,2,3.41176470588236
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Jan,I,2,0.375
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Jan,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Jan,III,2,2.125
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Jan,IV,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Jan,IX,2,0.625
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Jan,V,2,8.75
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Jan,VI,2,7.25
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Jan,VII,2,4.125
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Jan,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Jan,X,2,1
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Oct,I,2,3.53658536585366
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Oct,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Oct,III,2,3.04878048780488
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Oct,IV,2,5
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Oct,IX,2,3.78048780487805
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Oct,V,2,13.9024390243903
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Oct,VI,2,3.53658536585366
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Oct,VII,2,1.09756097560976
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Oct,VIII,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1997,Oct,X,2,3.41463414634147
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1998,Mar,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1998,Mar,II,2,6.5
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1998,Mar,III,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1998,Mar,IV,2,0.166666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1998,Mar,IX,2,0.333333333333333
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1998,Mar,V,2,6.38888888888889
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1998,Mar,VI,2,11.5
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1998,Mar,VII,2,7.5
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1998,Mar,VIII,2,4.16666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,1998,Mar,X,2,7.33333333333334
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2000,May,I,2,2.41935483870968
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2000,May,II,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2000,May,III,2,5.27859237536657
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2000,May,IV,2,7.90322580645161
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2000,May,IX,2,1.12903225806452
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2000,May,V,2,7.74193548387096
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2000,May,VI,2,5.16129032258065
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2000,May,VII,2,12.316715542522
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2000,May,VIII,2,10.8064516129032
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2000,May,X,2,7.74193548387097
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2002,Mar,I,2,10.6666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2002,Mar,II,2,3.66666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2002,Mar,III,2,13.3333333333333
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2002,Mar,IV,2,12.8333333333333
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2002,Mar,IX,2,2.33333333333333
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2002,Mar,V,2,11.8333333333333
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2002,Mar,VI,2,5
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2002,Mar,VII,2,11.6666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2002,Mar,VIII,2,14.5
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2002,Mar,X,2,35.1666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2003,Mar,I,2,0
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2003,Mar,II,2,12.6666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2003,Mar,III,2,4.66666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2003,Mar,IV,2,9
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2003,Mar,IX,2,15.5
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2003,Mar,V,2,11.5151515151515
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2003,Mar,VI,2,14
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2003,Mar,VII,2,12
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2003,Mar,VIII,2,21.3636363636363
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2003,Mar,X,2,28.6363636363636
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2004,Mar,I,2,13.1666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2004,Mar,II,2,9.66666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2004,Mar,III,2,24
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2004,Mar,IV,2,34.1666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2004,Mar,IX,2,11.5
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2004,Mar,V,2,23
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2004,Mar,VI,2,16.5
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2004,Mar,VII,2,19.1666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2004,Mar,VIII,2,0.166666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2004,Mar,X,2,3.83333333333333
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2005,Mar,I,2,8.66666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2005,Mar,II,2,1.5
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2005,Mar,III,2,27.3333333333333
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2005,Mar,IV,2,26.5
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2005,Mar,IX,2,10.8333333333333
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2005,Mar,V,2,34.6666666666666
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2005,Mar,VI,2,8.33333333333334
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2005,Mar,VII,2,28.75
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2005,Mar,VIII,2,16.1666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2005,Mar,X,2,24.6666666666667
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2007,Jul,I,2,20.1639344262295
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2007,Jul,II,2,29.672131147541
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2007,Jul,III,2,17.896174863388
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2007,Jul,IV,2,7.10382513661202
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2007,Jul,IX,2,15.5107187894074
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2007,Jul,V,2,7.49414519906323
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2007,Jul,VI,2,18.7158469945355
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2007,Jul,VII,2,11.0283159463487
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2007,Jul,VIII,2,6.55737704918033
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2007,Jul,X,2,9.47176684881602
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2010,Mar,I,2,19.941348973607
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2010,Mar,II,2,47.5073313782991
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2010,Mar,III,2,34.516129032258
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2010,Mar,IV,2,14.5161290322581
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2010,Mar,IX,2,4.83870967741936
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2010,Mar,V,2,13.9296187683284
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2010,Mar,VI,2,10.9970674486804
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2010,Mar,VII,2,19.3548387096774
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2010,Mar,VIII,2,3.81231671554252
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2010,Mar,X,2,17.0967741935484
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2014,Apr,IX,2,35.2380952380952
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2014,Apr,VI,2,5.23809523809524
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2014,Apr,VII,2,20.5128205128205
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2014,Apr,VIII,2,1.26984126984127
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2014,Aug,I,2,31.9047619047619
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2014,Aug,II,2,37.1031746031746
Pocillopora,UvRf-Chains,Uva,UvRf-Chains,2014,Aug,III,2,34.2151675485009
